SN,Name
1,MURAT OTOMOTIV TICARET LIMITED SIRKETI
2,SAMPA OTOMOTIV SANAYI VE TICARET A.S.
3,"IKILER OTOMOTIV FILTRE, USTUBU, DETERJAN SANAYI VE TICARET LIMITED SIRKETI"
4,KEMAL SEVIMLI KSE OTOMOTIV ITHALAT VE IHRACAT
5,BALTACIOGLU MUHENDISLIK MAKINA TICARET VE SANAYI LIMITED SIRKETI
6,BSY OTOMOTIV GIDA TEKSTIL NAKLIYE TURIZM ITHALAT VE IHRACAT SANAYI VE TICARET LIMITED SIRKETI
7,Natamak Otomotiv Sanayi Ic Ve Dis Ticaret Ltd
8,Oto Bakim Kardesler
9,ARCEK INSAAT TEKSTIL OTOMOTIV IC VE DIS TICARET LIMITED SIRKETI
10,Alcan Otomotiv
11,Beser Balatacilik A.S.
12,Beser Uluslararasi A.S.
13,Turuncu Auto Ltd.Co.
14,GECGEL (GTS) BRAKE SYSTEM
15,TEK-KON OTOMOTIV MAK.SAN.DIS TIC.LTD.STI.
16,Filkar Brake Equipments Inc.
17,EKU Brake Drum&Disc
18,Federal Power Corp.
19,OZKAPTAN LTD.STI.
20,Federal Power Corp.
21,Truck Parts Turkey
22,inpart truck spare parts
23,BULBULOGLU CRANE INDUSTRY
24,Erkaya Motorlu Araclar Nak. San. Tic. Ltd.Sti.
25,BESAS SPARE PART FOR TRUCK & TRAILER
26,BARIS AKAGUNDUZ ( NOBA FOREIGN TRADE & CONSULTANCY )
27,AYHAN BASARAN (KONSEPT OTOMOTIV IC VE DIS TICARET)
28,BUYUK EKER BIJON SANAYI VE TICARET AS
29,FEKO MAKINA OIL SEALS
30,ISMAIL ALPER YILMAZ
31,Hizlanlar Otomotiv San. Ve Tic. A. S.
32,GONEN MOTORLU ARACLAR SAN.TIC.LTD.STI
33,OZDEN OTOMOTIV
34,OFM AUTOMOTIVE
35,Aydin Otomobil
36,AKKUSLAR AUTO CO. LTD.
37,BIRMEN OTOMOTIV IC VE DIS TICARET
38,IRMAK ITH. IHR. TAAH. OTOMOTIV LTD.STI.
